Bot_Name,Artist,Banner,Bot_ID,Bot_Status,Build_Method,Category,Comment,Creator,Exp_after,Exp_before,Exp_gif,GUI_bot,Hotspot,Image_V3_tag,JSON,Launch_Date,Like,MyShell_URL,Myshell主站,Note,Tag,Theme,Yuki's Explore,banner_mobile,"bobo：tip ",input_guide,web_bot_name,微信/Discord/x,自动化效果测试集,进度,重新部署
BySonCreations Style AI Portrait,"Byson, 付费合作",,1743481281,public,,图生图,,Myshell-Janet,botlist-after%209.jpg,botlist-before%209.jpg,,,YES,"floor_2, portrait_style_aiportrait",input-_Sonja_Style_AI_Bot-20250331.zip,2025/04/01,,https://app.myshell.ai/chat/1743481281,,Byson-古怪艺术写真照,"Anime, Beauty, Headshot, 可在挖掘, 整活",AI Images,,,,YES,"AI Photo Generator - Auburn Hair Duck Portrait  ",工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1743481281 (https://www.notion.so/1743481281-1d03f81ff51e80a7b7a6da88818d9f31?pvs=21),增长测试好,
Pink Pearl Headdress,"dynamicwang, 付费合作",,1744008625,public,,图生图,,Myshell-Janet,bot_list_-_after%202.jpg,bot_list_-_before%202.jpg,,,YES,"floor_2, portrait_style_aiportrait",DynmaicWang-New_Classic_AI_Portrait__Pink_Pearl_Headdress.json,2025/04/01,,https://app.myshell.ai/chat/1744008625,,dynamic wang-粉色复古裙装写真,"Beauty, Headshot, 可在挖掘, 整活",AI Images,,,,YES,AI Photo Generator - Pink Pearl Headdress,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1744008625 (https://www.notion.so/1744008625-1d03f81ff51e802d9282e9b8ed3bee10?pvs=21),增长测试好,
Wrapped in Color,"dynamicwang, 付费合作",,1744006693,public,,图生图,,myshell-Shea,bot_list_-_after%203.jpg,bot_list_-_before%203.jpg,,,YES,"floor_2, portrait_style_aiportrait",Wrapped_in_Color.json,2025/04/01,,https://app.myshell.ai/chat/1744006693,,dynamic wang-塑料艺术风格写真,"Anime, Beauty, Headshot, 可在挖掘, 整活",AI Images,,,,YES,AI Photo Generator - Purple Vinyl Portrait,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1744006693 (https://www.notion.so/1744006693-1cf3f81ff51e80cd927af8b51be7ea1f?pvs=21),增长测试好,
Ghibli Filter,,,1743514190,private,,图生图,,Lucas,,,,,NO,all_art_animegame_ip,,2025/04/02,Bobo,https://app.myshell.ai/chat/1743514190,,吉卜力滤镜,"Anime, Ghibli, IP",Photo Filters,,,,,,金运 (https://www.notion.so/11a3f81ff51e8086a497fdab99697aff?pvs=21),1743514190 (https://www.notion.so/1743514190-1c93f81ff51e805190a2edb013c15255?pvs=21),,
"Ghibli gram filter ",,,1743587240,private,,图生图,,donglong tang,,,,GUI,NO,all_art_animegame_ip,,2025/04/02,Bobo,https://app.myshell.ai/m/chat/1743587240,,吉卜就不同滤镜 效果不错,"Anime, Ghibli, IP",Photo Filters,,,,,,亦诚 (https://www.notion.so/15d3f81ff51e80c097f4e34262c0e56a?pvs=21),1743587240 (https://www.notion.so/1743587240-1d03f81ff51e80a38202e8a5e2ad704e?pvs=21),完成,
Robot Graphic,"spicy, 付费合作",banner_desktop%203.jpg,1743581305,public,,图生图,,Myshell-Bobo,botlist-after%2010.jpg,botlist-before%2010.jpg,,,YES,"floor_2, portrait_style_aiportrait",,2025/04/02,Bobo,https://app.myshell.ai/chat/1743581305,,Spicy-机器人赛博写真,"Beauty, Headshot, IP, 可在挖掘, 整活",AI Images,,banner_mobile%202.jpg,,YES,AI Photo Generator - Futuristic Cyborg Face,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1743581305 (https://www.notion.so/1743581305-1cf3f81ff51e807a929dc7040c02d8f5?pvs=21),完成,
"
Retro Style Graphic","irene, 免费合作",,1743688512,public,,图生图,,Myshell-Bobo,,,,,YES,"floor_1, portrait_style_aiportrait",,2025/04/03,Bobo,https://app.myshell.ai/chat/1743688512,,irene-Retro复古滤镜写真,"Beauty, Headshot, 可在挖掘, 整活",AI Images,,,,YES,,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1743688512 (https://www.notion.so/1743688512-1cf3f81ff51e806887f1ca9c31f3e6b7?pvs=21),完成,
AI Photo Generator - Pop Art Style,"dynamicwang, 付费合作",,1744008748,public,,图生图,,MyShell-lucas,,,,,YES,"floor_2, portrait_style_aiportrait",Test_(1).json,2025/04/03,,https://app.myshell.ai/chat/1744008748,,dynamic wang-彩色衣服写真,"Beauty, Headshot, 可在挖掘",AI Images,,,,YES,,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1744008748 (https://www.notion.so/1744008748-1cf3f81ff51e8092ad4cf34e97dab7d5?pvs=21),完成,
Ghibli Filter,,,1749988755,private,,图生图,,manha,,,,,YES,all_art_animegame_ip,,2025/04/03,,https://app.myshell.ai/chat/1749988755,,吉卜力滤镜,"Anime, Ghibli, IP",Photo Filters,tier1-小图,,,,,始觉情深 (https://www.notion.so/1ca3f81ff51e800e8c7fddf1ae45b3ff?pvs=21),1743660786 (https://www.notion.so/1743660786-1cf3f81ff51e8034bfe7f6e3326d7b52?pvs=21),完成,
Surreal Monochrome Portraits,,,1740394151,public,,图生图,,MGC mgc,,,,,YES,"floor_1, portrait_style_aiportrait",,2025/04/03,Bobo,https://app.myshell.ai/chat/1740394151,,黑白艺术照写真（重绘工作流）,"Beauty, Headshot, 可在挖掘",AI Images,,,,YES,,合作组3（miru负责） (https://www.notion.so/3-miru-17e3f81ff51e8050bf50fe3d28bf3e2a?pvs=21),1740394151 (https://www.notion.so/1740394151-1cf3f81ff51e8080800df04a30af7d9c?pvs=21),完成,
AI Agent architect / Cybergenix Model,,,1742243105,public,,(文+图)生图,,shengyu meng,,,,,,image_tool,,2025/04/03,,https://app.myshell.ai/chat/1742243105,,双年展展览专供bot 建筑小场景生成,"tool, 可在挖掘, 整活",Image Tools,,,,,,simon meng (https://www.notion.so/simon-meng-1ca3f81ff51e80428f0ae2ea18e5a0dd?pvs=21),,完成,已解决
Dune World,"dynamicwang, 付费合作",,1743669029,public,,图生图,,Myshell-zip,,,,,YES,"floor_2, portrait_style_aiportrait",Dune_World.json,2025/04/03,,https://app.myshell.ai/chat/1743669029,,dynamic wang-沙丘主题写真,"Beauty, Headshot, IP, 可在挖掘, 整活",AI Images,tier1-小图,,,YES,,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1743669029 (https://www.notion.so/1743669029-1cf3f81ff51e80f4af94c235c2be0bd9?pvs=21),完成,
Bubble Makeup Generator,digitalwearhaus,,1744193691,public,,图生图,,Myshell-Bobo,,,,,YES,"floor_1, portrait_style_aiportrait",,2025/04/09,Bobo,https://app.myshell.ai/chat/1744193691,,digitalwearhaus艺术写真 泡泡,"Beauty, Headshot, 可在挖掘, 整活",AI Images,,,,YES,,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1744193691 (https://www.notion.so/1744193691-1d03f81ff51e805aa734e316391ffe94?pvs=21),完成,
Styling Synthesizer,"dynamicwang, 付费合作",,1744173035,public,,图生图,,Myshell-Bobo,bot_list_-_after%204.jpg,bot_list_-_before%204.jpg,,,YES,"floor_2, portrait_style_aiportrait",,2025/04/11,,https://app.myshell.ai/chat/1744173035,,Dynamic时装写真（新工作流）,"Beauty, Headshot, 可在挖掘",AI Images,,,,YES,,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1744173035 (https://www.notion.so/1744173035-1d03f81ff51e80288cdfe27989661fca?pvs=21),完成,
Queen-style ME now,love4beautyart,,1744121050,private,,图生图,,Myshell-Bobo,,,,,YES,"floor_1, portrait_style_aiportrait",,2025/04/08,Bobo,https://app.myshell.ai/chat/1744121050,,优化工作流测试 -女王装扮写真,"Beauty, Headshot, 可在挖掘, 整活",AI Images,,,,YES,,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1744121050 (https://www.notion.so/1744121050-1cf3f81ff51e807f97cae0dfb1074184?pvs=21),完成,
Fairy Makeup Generator,alxndraai,,1744192363,public,,图生图,,Myshell-Bobo,,,,,YES,"floor_1, portrait_style_aiportrait",,2025/04/09,,https://app.myshell.ai/chat/1744192363,,精灵写真 alxndraai,"Beauty, Headshot, IP, 可在挖掘",AI Images,,,,YES,,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1744192363 (https://www.notion.so/1744192363-1d03f81ff51e80909a43e9e1ac0cb3f0?pvs=21),完成,
HeroStyle,,,1742525375,private,,图生图,,NeoAnifuture,,,,,YES,portrait_style_cosplay,,2025/04/09,,https://app.myshell.ai/chat/1742525375,,超级英雄合成照,"Anime, Headshot, IP, 可在挖掘, 整活",AI Images,,,,,,顽石 (https://www.notion.so/1bc3f81ff51e80b39c4cdd72c27aae18?pvs=21),1742525375 (https://www.notion.so/1742525375-1d03f81ff51e807d96f2f17df07bff0d?pvs=21),完成,
"Sea-art Style ",colors.of.isais,,https://app.myshell.ai/chat/1744187252,public,,图生图,,Myshell-Bobo,,,,,YES,"floor_1, portrait_style_aiportrait",alxndraai_swap.json,2025/04/09,,https://app.myshell.ai/chat/1744187252,,colors.of.isais艺术写真,"Beauty, Headshot, IP, 可在挖掘",AI Images,,,,YES,,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1744187252 (https://www.notion.so/1744187252-1d03f81ff51e806e9a5fcab203751c85?pvs=21),完成,
DanceVerse: AI Costume Revolution,,,1744220361,public,,图生视频,,TTPlanet,DanceVerse_AI_Costume_Revolution_botlist_1000x618.webp,,DanceVerse_AI_Costume_Revolution_botlist_1000x618%201.webp,,NO,"floor_5, portrait_fun",,2025/04/10,Bobo,https://app.myshell.ai/chat/1744220361,"Fun, 保存率>10%",自动生成衣服 跳舞视频,"Anime, video, 可在挖掘, 整活",AI Images,,,,,,汤团猪 (https://www.notion.so/1463f81ff51e8036ad9ddac9c2aa3a2a?pvs=21),,完成,
Future Vogue Portrait🤖️,,,1744286333,public,,图生图,,MGC mgc,,,,,YES,"floor_1, portrait_style_aiportrait",,2025/04/10,Bobo,https://app.myshell.ai/chat/1744286333,,赛博朋克写真类,"Beauty, Headshot, 可在挖掘, 整活",AI Images,,,,YES,,合作组3（miru负责） (https://www.notion.so/3-miru-17e3f81ff51e8050bf50fe3d28bf3e2a?pvs=21),1744286333 (https://www.notion.so/1744286333-1d13f81ff51e80ee861dcd00f577d3eb?pvs=21),完成,
Kpop AI Predictor,,,1744218822,public,,图生图,,HanT,,,,,YES,"image_game, kpop",,2025/04/10,Bobo,https://app.myshell.ai/chat/1744218822,,kpop预测机,"Headshot, IP, kpop, 可在挖掘, 整活",AI Images,,,,,,白桃 (https://www.notion.so/17a3f81ff51e80a0a21ff40cc02bfb38?pvs=21),1744218822 (https://www.notion.so/1744218822-1d13f81ff51e8000a44af24042332c15?pvs=21),完成,
Retro Little Mermaid style,"glitter_shooting, 付费合作",banner_desktop%204.jpg,1744343701,public,,图生图,,Myshell-Bobo,bot_list_-_after%205.jpg,bot_list_-_before%205.jpg,,,NO,"floor_2, portrait_style_aiportrait",,2025/04/11,Bobo,https://app.myshell.ai/chat/1744343701,,小美人鱼https://www.instagram.com/glitter_shooting/ 写真（新工作流）,"Anime, Beauty, Headshot, IP, 可在挖掘",AI Images,tier1-小图,banner_mobile%203.jpg,,YES,,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1744343701 (https://www.notion.so/1744343701-1f13f81ff51e80bbb071e2e4d89e9083?pvs=21),完成,
BellaLynn1968 Style AI Bot,"bellalynn1968, 付费合作",,1744347106,public,,图生图,,Myshell-Bobo,bot_list_-_after%206.jpg,bot_list_-_before%206.jpg,,,NO,"floor_2, portrait_style_aiportrait",,2025/04/11,Bobo,https://app.myshell.ai/chat/1744347106,,AImodel https://www.instagram.com/bellalynn1968/艺术家写真（新工作流）,"Beauty, Headshot, IP, 可在挖掘, 整活",AI Images,,,,YES,,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1744347106 (https://www.notion.so/1744347106-1d23f81ff51e800aab4fd9382045205e?pvs=21),完成,
Sky Flight Effect,,,1744351293,public,,图生视频,,flywhale@126.com,Sky_Flight_Effect_botlist_1000x618.webp,,Sky_Flight_Effect_botlist_1000x618%201.webp,,YES,"floor_5, other_fun, portrait_fun",,2025/04/11,,https://app.myshell.ai/m/chat/1744351293,"Fun, 保存率>10%",飞翔视频特效,"Anime, video, 整活",AI Images,,,,,,飞翔鲸 (https://www.notion.so/1d23f81ff51e808ebc47dcae701bb09c?pvs=21),,完成,
Complex Dress style,helenbreznik,,1744347174,public,,图生图,,Myshell-Bobo,,,,,NO,"floor_1, portrait_style_aiportrait",,2025/04/11,,https://app.myshell.ai/chat/1744347174,,helenbreznik艺术家写真（新工作流）,"Beauty, Headshot, IP, 可在挖掘, 整活",AI Images,,,,YES,,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1744347174 (https://www.notion.so/1744347174-1d23f81ff51e80e58a87cdffc054f209?pvs=21),完成,
Crush Unlock,,,1745258157,private,,图生视频,,CrushHack,,,,,NO,NSFW,,2025/04/11,,https://app.myshell.ai/chat/1744328564,,虚拟女/男友 照片生成器,"可在挖掘, 整活",Image Games,,,,,,光远非人类 (https://www.notion.so/1d23f81ff51e8042ba6bfd2f26f73b12?pvs=21),,完成,
Split,,,1744336140,private,,图生视频,,Lucas,,,,,NO,portrait_fun,,2025/04/11,Bobo,https://app.myshell.ai/chat/1744336140,,分裂视频生成器,"IP, video, 可在挖掘, 整活",AI Images,,,,,,金运 (https://www.notion.so/11a3f81ff51e8086a497fdab99697aff?pvs=21),,完成,
ChatGPT 4o Style Voxel Art,,,1744542176,private,,图生图,,Lucas,,,,,NO,all_art_animegame_noip,,2025/03/24,Bobo,https://app.myshell.ai/chat/1744542176,,4o反推像素滤镜,"Anime, IP, Pixel, 可在挖掘, 整活",Photo Filters,,,,,,金运 (https://www.notion.so/11a3f81ff51e8086a497fdab99697aff?pvs=21),1744542176 (https://www.notion.so/1744542176-1d43f81ff51e8069a962dfddb985b0e7?pvs=21),,
ChatGPT 4o Style Voxel Art,,,1744542176,private,,图生图,,Lucas,,,,,NO,all_art_animegame_noip,,2025/04/14,Bobo,https://app.myshell.ai/chat/1744542176,,像素滤镜 4o反推,"Anime, Headshot, IP, Pixel, 可在挖掘, 整活",Photo Filters,,,,,,金运 (https://www.notion.so/11a3f81ff51e8086a497fdab99697aff?pvs=21),1744542176 (https://www.notion.so/1744542176-1d43f81ff51e8069a962dfddb985b0e7?pvs=21),完成,
"Family guy Filter ",,,https://app.myshell.ai/m/chat/1744674733?from=Aipp%20Launch,private,,图生图,,CF_Leon,,,,,YES,all_art_animegame_ip,,2025/04/15,Bobo,https://app.myshell.ai/m/chat/1744674733,,恶搞之家滤镜,"Anime, Headshot, IP, 可在挖掘, 整活",Photo Filters,,,,,,放空的记忆 (https://www.notion.so/1313f81ff51e80449c1cf912ad45bfe9?pvs=21),1744674733 (https://www.notion.so/1744674733-1d63f81ff51e806eb9aad16add3fca98?pvs=21),完成,
Oil Frames,,,1744649382,public,,视频生视频,,Simon lee,,,,,YES,"all_art_material, floor_5, other_fun, portrait_fun",,2025/04/15,Bobo,https://app.myshell.ai/chat/1744649382,,阿文梵高油画视频转绘,"Anime, IP, video, 可在挖掘, 整活",AI Images,,,,,,simon阿文 (https://www.notion.so/simon-1463f81ff51e807d91e3d1c92afa44a3?pvs=21),,完成,已解决
Cartoon avatar,,,1744690693,private,,图生图,,Myshell-Bobo,,,,,NO,"all_art_animegame_noip, portrait_style_avatar",,2025/04/15,Bobo,https://app.myshell.ai/chat/1744690693,,四格头像漫画,"Anime, Headshot, 可在挖掘, 整活",AI Images,,,,,,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1744690693 (https://www.notion.so/1744690693-1d63f81ff51e802f8f26d135178db790?pvs=21),完成,
Anime to realistic conversion,,,1744641447,public,,图生图,,Aglong,,,,,NO,"all_art_animegame_noip, portrait_style_cosplay",,2025/04/16,,https://app.myshell.ai/chat/1744641447,,漫画角色转真人,"Anime, IP, 可在挖掘, 整活",AI Images,,,,,,Aglong (https://www.notion.so/Aglong-1d63f81ff51e8091b71fcdde49cdfe89?pvs=21),,完成,
Glowing Filter,,,1744685778,public,,图生图,,zhacai,,,,,NO,all_art_animegame_noip,,2025/04/15,Bobo,https://app.myshell.ai/chat/1744685778,,发光纹身风格滤镜,"Beauty, Headshot, 可在挖掘, 整活",Photo Filters,,,,,,榨菜 (https://www.notion.so/1d63f81ff51e807b9814ee7246308fee?pvs=21),1744685778 (https://www.notion.so/1744685778-1d63f81ff51e80c0bbbbcd318f1c637d?pvs=21),完成,
Summer Clothes Change,,,1744688287,public,,图生图,,YANG HAO,,,,,NO,"floor_6, portrait_fashion",,2025/04/15,,https://app.myshell.ai/chat/1744688287,,夏天换装,"clothes, 可在挖掘, 整活",AI Images,,,,,,Frames (https://www.notion.so/Frames-1d63f81ff51e806281c3fc81230cecbb?pvs=21),,完成,
Kai Wing - Red Porcelain,"music._.w, 付费合作",,1744791237,public,,图生图,,代工厂,bot_list_-_after%207.jpg,bot_list_-_before%207.jpg,,,YES,"floor_2, portrait_style_aiportrait",,2025/04/16,,https://app.myshell.ai/chat/1744791237,,music._.w艺术家合作写真bot1 旗袍,"Beauty, Headshot, 可在挖掘, 整活",AI Images,,,,YES,,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1744791237 (https://www.notion.so/1744791237-1d73f81ff51e806f9bd7e5e8c1d5b888?pvs=21),完成,
Minecraft Movie Style,,,1744773123,private,,图生图,,Lucas,,,,,YES,all_art_animegame_ip,,2025/04/16,Bobo,https://app.myshell.ai/chat/1744773123,,我的世界大电影滤镜,"Anime, Headshot, IP, 可在挖掘, 整活",Photo Filters,,,,,,金运 (https://www.notion.so/11a3f81ff51e8086a497fdab99697aff?pvs=21),1744773123 (https://www.notion.so/1744773123-1d73f81ff51e802d852bf7c0cf6b8efb?pvs=21),完成,
Strong Wind,,,1744816856,private,,图生视频,,jack,Strong_Wind_botlist_1000x618.webp,,Strong_Wind_botlist_1000x618%201.webp,,NO,portrait_fun,,2025/04/16,"Bobo, Catherine",https://app.myshell.ai/m/chat/1744816856,"Fun, 保存率>10%",大风吹人脸动效,"video, 可在挖掘, 整活",AI Images,,,,,,顽石+金运小组 (https://www.notion.so/1ab3f81ff51e80569bdfe531044dd95e?pvs=21),,完成,
Kai Wing - Blue and White Porcelain,"music._.w, 付费合作",,1744787886,public,,图生图,,代工厂,bot_list_-_after%208.jpg,bot_list_-_before%208.jpg,,,YES,"floor_2, portrait_style_aiportrait",,2025/04/16,Bobo,https://app.myshell.ai/chat/1744787886,,music._.w艺术家合作写真bot3旗袍,"Beauty, Headshot, 可在挖掘, 整活",AI Images,,,,YES,,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1744787886 (https://www.notion.so/1744787886-1d83f81ff51e8030af8add979e0da7ee?pvs=21),完成,
Kai Wing - Pink Porcelain,"music._.w, 付费合作",,1744790869,public,,图生图,,代工厂,bot_list_-_after%209.jpg,bot_list_-_before%209.jpg,,,YES,"floor_2, portrait_style_aiportrait",,2025/04/16,,https://app.myshell.ai/chat/1744790869,,music._.w艺术家合作写真bot2旗袍,"Beauty, Headshot, 可在挖掘, 整活",AI Images,,,,YES,,工作人员 (https://www.notion.so/1313f81ff51e80038b36d2cba98289e2?pvs=21),1744790869 (https://www.notion.so/1744790869-1d73f81ff51e8005b63fc16c65018a40?pvs=21),增长测试好,
HeroStyle - Action Figure 4U,,,1742522426,private,,图生视频,选题很好但是效果欠佳,NeoAnifuture,,,,,NO,"portrait_fun, portrait_style_avatar",,2025/04/21,"Bobo, Catherine",https://app.myshell.ai/chat/1742522426,,手办风英雄 输出转盘视频,"Anime, IP, video, 可在挖掘, 整活",AI Images,,,,,,顽石 (https://www.notion.so/1bc3f81ff51e80b39c4cdd72c27aae18?pvs=21),1742522426 (https://www.notion.so/1742522426-1d93f81ff51e800eb8d8e0c7805d4817?pvs=21),完成,
Rick & Morty Art Studio,,,1749988333,private,,图生图,,manha,,,,,NO,all_art_animegame_ip,,2025/04/17,Bobo,https://app.myshell.ai/chat/1749988333,,Rick & Mordy画风滤镜,"Anime, IP, 可在挖掘, 整活",Photo Filters,,,,,,始觉情深 (https://www.notion.so/1ca3f81ff51e800e8c7fddf1ae45b3ff?pvs=21),1744880735 (https://www.notion.so/1744880735-1d83f81ff51e8030a515f6740c89d1f7?pvs=21),完成,
Cyber Coser,,,1744860763,public,,图生图,,🐧,,,,,NO,"all_art_animegame_noip, floor_3, portrait_style_cosplay",,2025/04/17,Bobo,https://app.myshell.ai/chat/1744860763,,二次元转真人 coser生成器,"Anime, Beauty, IP, 可在挖掘, 整活",AI Images,,,,,,企鹅张艺瀚 (https://www.notion.so/11a3f81ff51e805885b6da514c863de4?pvs=21),,完成,
